employee_ID,employee_name,gender,employee_phone_number,cinema_ID
677509,Lois,F,30357284,46799
940761,Brenda,F,22594549,53771
428945,Joe,M,21990421,25929
408351,Diane,F,21579367,31435
193819,Benjamin,M,26240422,12198
499687,Patrick,M,31981269,43999
539712,Nancy,F,22933651,64129
380086,Carol,F,21633600,42367
477616,Frances,F,21081997,89124
162402,Diana,F,47978356,56767
231469,Ralph,M,31628028,30130
153989,Jack,M,70260337,49413
386158,Melissa,F,21660537,29106
301576,Wayne,M,70123193,46649
441771,Cheryl,F,21528893,52279
528509,Paula,F,25253176,27671
912990,Joshua,M,21727993,10676
214352,Theresa,F,31955389,50969
890290,Julia,F,42393910,21941
622406,Thomas,M,31467936,72604
979607,Carol,F,22528342,69870
969580,Matthew,M,23697276,81988
426038,Joan,F,21663768,96443
388642,Ruby,F,42323165,30172
560455,Carolyn,F,23988287,71350
477253,Anne,F,60563513,45619
263480,Daniel,M,70151081,12024
683826,Roger,M,20649731,16493
474599,Maria,F,42366855,43175
335732,Brenda,F,48081482,26434
